RT(milliseconds);ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle
122000;0,0;47,523983;42,16504;46,18239;0,0;97,9819;33,304947;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;45,65145;35,472206;0,0;42,542778;0,0;0,0;31,56198;30,598976;0,0;0,0;0,0;469,65417;0,0;217,91779;55,782017;0,0;0,0;39,189335;0,0;31,394384;0,0;33,562565;37,668926;0,0;37,907818;766,62897;59,55655;175,20253;43,28119;0,0;103,34465;229,14293;956,45746;742,91797;887,4294;50,18302;75,06738;0,0;286,19104;30,874863;0,0;78,09409;234,29543;109,533676;0,0;0,0;217,95827;201,22536;0,0;116,61983;37,341988;0,0;180,9285;230,23042;123,556274;0,0;365,30557;236,54759;611,2906;240,55092
122100;0,0;45,050247;37,69602;42,12086;0,0;93,36552;35,188534;0,0;0,0;0,0;0,0;34,565678;0,0;0,0;0,0;0,0;40,96126;36,373474;30,658348;58,01038;0,0;0,0;36,816578;0,0;0,0;0,0;0,0;475,37564;0,0;210,54514;45,016354;0,0;0,0;36,69491;32,06466;32,726845;0,0;40,72351;43,20767;0,0;45,290478;656,10944;50,538177;151,10278;36,790592;0,0;136,52415;196,83087;880,9318;640,1549;871,43774;42,587498;61,13703;0,0;282,75598;31,46601;0,0;86,98522;443,2864;277,63812;0,0;0,0;286,13898;189,78505;0,0;94,88369;45,56855;0,0;144,34537;241,20802;156,42291;38,095623;289,8144;189,01892;503,23727;189,01747
122200;36,88643;42,53414;37,93395;41,929943;0,0;85,30675;43,031868;0,0;0,0;0,0;0,0;41,483658;0,0;0,0;0,0;0,0;35,809277;31,152433;0,0;70,63631;0,0;0,0;31,128033;0,0;0,0;0,0;0,0;446,02478;0,0;202,23714;39,603268;0,0;0,0;37,49035;31,431477;35,59813;0,0;44,412872;54,2777;0,0;42,56081;552,8646;43,42277;129,20969;31,660461;0,0;178,76674;170,06987;764,23535;533,17285;787,8369;36,409023;49,876156;0,0;263,6502;30,981785;0,0;91,20791;702,4813;489,84424;0,0;0,0;344,79214;176,5526;0,0;77,03087;52,356937;0,0;117,249504;236,70564;180,7933;43,69087;231,51079;152,2262;411,6944;150,49687
122300;43,351032;41,590748;37,998352;41,65533;0,0;87,96431;50,683628;0,0;0,0;0,0;0,0;39,553387;0,0;0,0;0,0;0,0;33,302433;0,0;0,0;72,18448;0,0;0,0;0,0;32,36847;0,0;0,0;0,0;384,2059;0,0;188,4523;35,942192;0,0;0,0;42,303284;0,0;43,433147;0,0;45,290684;51,762596;0,0;36,39925;466,99258;37,650887;108,566444;0,0;0,0;220,35893;148,01236;637,40717;436,66296;678,2187;31,593096;41,643707;0,0;224,47607;0,0;0,0;87,58514;905,0056;660,84406;0,0;0,0;388,1855;159,44778;0,0;63,279396;52,66275;0,0;96,20339;202,84515;201,3006;44,798565;183,4037;124,845856;338,0039;121,04604
122400;42,58433;38,996166;42,195324;40,31505;0,0;96,95666;56,04048;0,0;0,0;0,0;0,0;35,328903;0,0;0,0;0,0;0,0;31,12525;0,0;0,0;68,792694;0,0;0,0;0,0;52,30086;0,0;0,0;0,0;319,86954;0,0;166,89209;37,992355;0,0;0,0;50,744373;30,914066;42,199795;0,0;42,436905;41,48765;0,0;0,0;396,9098;32,795383;93,951775;0,0;0,0;246,50864;129,92587;516,72345;357,4212;568,9634;0,0;35,24233;0,0;187,63455;0,0;0,0;78,89061;1000,0014;741,3061;0,0;0,0;423,8318;146,29053;0,0;52,485844;48,88267;0,0;79,49767;161,84471;203,1699;42,899082;144,57812;103,01943;279,32977;97,98401
122500;34,951702;36,076984;51,9659;39,429295;0,0;111,11079;61,86337;0,0;0,0;39,09542;0,0;36,56999;0,0;0,0;33,505592;0,0;0,0;0,0;0,0;65,25072;0,0;0,0;0,0;62,877167;0,0;0,0;0,0;268,52853;0,0;143,70433;42,54923;0,0;0,0;59,900444;35,013893;33,949486;0,0;39,045685;40,116592;0,0;0,0;335,2317;0,0;82,43952;0,0;0,0;249,7114;113,10487;411,8125;292,67633;473,5952;0,0;30,43631;0,0;161,91309;0,0;0,0;66,995766;996,63855;732,8715;0,0;0,0;436,27573;140,35432;0,0;44,402225;44,984455;0,0;66,00004;137,25447;208,95268;38,79136;116,220764;85,51024;233,4566;80,115555
122600;31,854801;37,775005;61,772636;36,24986;0,0;133,30943;69,02068;0,0;0,0;47,750362;0,0;46,771034;35,193058;0,0;38,297966;0,0;0,0;0,0;0,0;56,477406;0,0;0,0;31,077963;72,94368;0,0;0,0;0,0;223,20537;0,0;126,852936;43,7607;0,0;0,0;57,19509;33,38978;0,0;0,0;35,54354;44,672024;0,0;0,0;281,38824;0,0;72,05458;0,0;0,0;233,62901;99,449646;328,6235;239,42178;391,72452;0,0;0,0;0,0;144,05618;0,0;0,0;54,25045;928,4875;667,27496;0,0;0,0;408,55545;131,99855;0,0;38,386875;39,694885;0,0;56,33956;130,53853;215,23465;35,64292;95,65677;71,803986;196,02565;66,92061
122700;30,220528;38,98243;68,4892;30,499432;0,0;146,4963;69,09916;0,0;0,0;40,149864;0,0;46,244217;36,141174;31,850094;42,468388;0,0;0,0;0,0;32,3363;45,548004;0,0;0,0;0,0;70,895424;0,0;0,0;0,0;186,61276;0,0;109,09605;45,31825;0,0;0,0;45,48184;0,0;0,0;0,0;34,219704;48,2876;0,0;0,0;238,21573;0,0;63,651505;0,0;0,0;205,99634;88,27088;264,1351;196,47742;321,02103;0,0;0,0;0,0;149,72986;0,0;0,0;47,133186;833,00836;576,33746;0,0;0,0;347,89215;119,508644;32,141277;33,494396;38,983067;0,0;48,905636;138,92229;213,8169;37,510567;79,94683;61,0754;163,47536;56,646507
122800;30,524971;36,839863;73,2879;0,0;0,0;150,4308;61,138706;0,0;0,0;34,70084;0,0;37,08169;36,93949;37,316483;45,593945;0,0;0,0;0,0;42,974846;39,002827;0,0;0,0;0,0;62,59029;0,0;0,0;0,0;164,21416;0,0;94,80808;48,051754;0,0;0,0;34,64566;0,0;0,0;0,0;35,054283;51,305035;0,0;0,0;202,97456;0,0;55,85443;0,0;0,0;177,38031;78,38389;212,40193;162,02829;262,79245;0,0;0,0;0,0;177,24135;0,0;0,0;48,7069;733,0733;480,53592;0,0;0,0;283,51642;105,144196;0,0;0,0;36,63962;0,0;42,15126;152,90382;227,78943;42,873203;67,22829;52,152847;137,69298;47,80446
122900;30,662615;39,192307;77,14654;36,709747;0,0;146,45506;57,163136;0,0;0,0;35,03077;0,0;31,982485;39,463993;39,499664;48,471504;0,0;0,0;0,0;43,068;36,280605;0,0;0,0;0,0;57,925;0,0;0,0;0,0;153,65677;0,0;86,650986;47,716568;0,0;0,0;0,0;0,0;0,0;0,0;34,924755;44,0771;0,0;0,0;173,70584;0,0;49,119846;0,0;0,0;152,6321;71,487175;172,07039;134,68005;215,34915;0,0;0,0;0,0;211,32896;0,0;0,0;53,106815;636,4697;393,78784;0,0;0,0;231,45157;89,28227;0,0;0,0;0,0;0,0;36,588264;160,34554;234,45981;44,369617;57,001217;44,439487;117,822426;40,8938
